Titulo,Sinopsis,Año,Duracion,Url
Son como niños 2,"La secuela de Son como niños. Después de mudarse con su familia de regreso a su ciudad natal para estar con sus amigos y sus hijos, Lenny, descubre que entre los antiguos y los nuevos bravucones,conductores de autobús esquizofrénicos, policías borrachos sobre esquís y 400 colados a una fiesta de disfraces, a veces ocurren situaciones locas.",2013,100 MIN,https://www.starz.com/ar/es/movies/son-como-ni%C3%B1os-2-50698
Los juegos del hambre: Sinsajo - El final,"Jennifer Lawrence interpreta a Katniss Everdeen, que comenzó su viaje luchando por sobrevivir a los despiadados Juegos del Hambre, y dirigió la rebelión contra el tiránico presidente de Panem (Donald Sutherland).",2015,136 MIN,https://www.starz.com/ar/es/movies/los-juegos-del-hambre-sinsajo-el-final-50756
De Tyler Perry Tentación: Confesiones de una consejera matrimonial,"Judith es una mujer trabajadora que está en un matrimonio amoroso pero sin pasión. Conoce a un hombre atractivo y extremadamente rico que la seduce para embarcarse en un amorío candente, pero después de que las cosas toman una serie de giros dramáticos ella encuentra que su vida cambió para siempre.",2013,111 MIN,https://www.starz.com/ar/es/movies/de-tyler-perry-tentaci%C3%B3n-confesiones-de-una-consejera-matrimonial-51340
12 Horas,"Hace un año, Jill Parrish sobrevivió al secuestro de un asesino en serie. Cuando llega a casa luego de un turno nocturno descubre que su hermana Molly ha sido secuestrada, y está convencida de que el mismo asesino en serie ha vuelto por su hermana.",2012,94 MIN,https://www.starz.com/ar/es/movies/12-horas-51692
Obsesión Del Pasado,Una ex novia amargada trama su venganza después de que su ex regresa a su ciudad natal con un nueva amante.,2009,95 MIN,https://www.starz.com/ar/es/movies/obsesi%C3%B3n-del-pasado-51729
Sin escalas,Un Comisario aéreo usa su astucia con un terrorista americano amargado que amenaza con matar a un pasajero cada 20 minutos a menos que el Comisario se suicide.,2014,106 MIN,https://www.starz.com/ar/es/movies/sin-escalas-51823
Los ilusionistas: Nada es lo que parece,"Un thriller de misterio protagonizado por Mark Ruffalo y Woody Harrelson. Cuatro magos talentosos son sacados del anonimato para convertirse en los Cuatro Jinetes, un grupo de ilusionistas de escenario que pronto atraerán la atención del FBI.",2013,115 MIN,https://www.starz.com/ar/es/movies/los-ilusionistas-nada-es-lo-que-parece-51825
Recuérdame,"Una joven estudiante con problemas se enamora de una chica después de un encuentro casual. Ambos llegan aceptan sus tragedias personales que ayudan a sanar entre sí, pero pronto la verdad detrás de su encuentro amenaza con poner fin a su relación.",2010,112 MIN,https://www.starz.com/ar/es/movies/recu%C3%A9rdame-51833
Retornados,"Un virus zombi ha infectado a la humanidad, pero se puede curar con inyecciones diarias. Así que el caos surge cuando se sabe que quedan pocos suministros de inyecciones.",2014,98 MIN,https://www.starz.com/ar/es/movies/retornados-51836
Siniestro,"Un autor se muda con su familia a una casa con un pasado oscuro con la esperanza de encontrar inspiración. Sin embargo, después de descubrir un conjunto de cintas de vídeo escalofriantes en la casa, se hace evidente que están en grave peligro.",2012,110 MIN,https://www.starz.com/ar/es/movies/siniestro-51847
